t	xpz	ypz	zpz	xspt1	yspt1	xspt2	yspt2	vx	vy	vsum
1.990198E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071012E+2	2.415847E+2	3.071246E+2	2.410746E+2	3.051758E-4	5.706787E-2	-4.100647E+0
1.990200E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071638E+2	2.416069E+2	3.072439E+2	2.410929E+2	1.220703E-2	5.737305E-2	-4.100952E+0
1.990202E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071638E+2	2.416069E+2	3.072439E+2	2.410929E+2	1.922607E-2	5.737305E-2	-4.100647E+0
1.990204E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072907E+2	2.416229E+2	3.073002E+2	2.411078E+2	2.044678E-2	5.798340E-2	-4.100952E+0
1.990206E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072907E+2	2.416229E+2	3.073002E+2	2.411078E+2	1.464844E-2	5.767822E-2	-4.101562E+0
1.990208E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072531E+2	2.416149E+2	3.072820E+2	2.410946E+2	7.019043E-3	5.676270E-2	-4.101257E+0
1.990210E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072188E+2	2.416359E+2	3.072688E+2	2.411032E+2	5.493164E-3	5.615234E-2	-4.101257E+0
1.990212E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072188E+2	2.416359E+2	3.072688E+2	2.411032E+2	-2.441406E-3	5.615234E-2	-4.100952E+0
1.990214E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072188E+2	2.416359E+2	3.072688E+2	2.411032E+2	2.746582E-3	5.706787E-2	-4.100342E+0
1.990216E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072188E+2	2.416359E+2	3.072688E+2	2.411032E+2	3.356934E-3	5.798340E-2	-4.100952E+0
1.990218E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072188E+2	2.416359E+2	3.072688E+2	2.411032E+2	6.713867E-3	5.798340E-2	-4.100037E+0
1.990220E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072394E+2	2.415765E+2	3.072680E+2	2.410695E+2	1.434326E-2	5.920410E-2	-4.099426E+0
1.990222E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072394E+2	2.415765E+2	3.072680E+2	2.410695E+2	1.556396E-2	5.889893E-2	-4.100342E+0
1.990224E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071904E+2	2.415908E+2	3.072146E+2	2.410813E+2	9.155273E-3	5.889893E-2	-4.100952E+0
1.990226E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071904E+2	2.415908E+2	3.072146E+2	2.410813E+2	6.713867E-3	5.828857E-2	-4.101257E+0
1.990228E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071285E+2	2.415936E+2	3.071557E+2	2.410881E+2	7.629395E-3	5.920410E-2	-4.100342E+0
1.990230E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072365E+2	2.416000E+2	3.072407E+2	2.410923E+2	-1.831055E-3	5.950928E-2	-4.100952E+0
1.990232E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072365E+2	2.416000E+2	3.072407E+2	2.410923E+2	9.155273E-4	5.981445E-2	-4.100342E+0
1.990234E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072365E+2	2.416000E+2	3.072407E+2	2.410923E+2	1.220703E-2	6.011963E-2	-4.099121E+0
1.990236E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072365E+2	2.416000E+2	3.072407E+2	2.410923E+2	1.403809E-2	5.950928E-2	-4.100647E+0
1.990238E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072365E+2	2.416000E+2	3.072407E+2	2.410923E+2	6.408691E-3	5.859375E-2	-4.100342E+0
1.990240E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071892E+2	2.415927E+2	3.071906E+2	2.410915E+2	7.934570E-3	6.011963E-2	-4.100342E+0
1.990242E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.071892E+2	2.415927E+2	3.071906E+2	2.410915E+2	5.798340E-3	5.920410E-2	-4.100037E+0
1.990244E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072553E+2	2.415744E+2	3.072531E+2	2.410700E+2	-1.007080E-2	5.615234E-2	-4.100037E+0
1.990246E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072553E+2	2.415744E+2	3.072531E+2	2.410700E+2	3.967285E-3	5.645752E-2	-4.100037E+0
1.990248E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072951E+2	2.415980E+2	3.073045E+2	2.410901E+2	1.647949E-2	5.554199E-2	-4.099426E+0
1.990250E+4	2.173235E+1	2.614188E+1	7.317708E+0	3.072951E+2	2.415980E+2	3.073045E+2	2.410901E+2	1.312256E-2	5.340576E-2	-4.099426E+0
